COOK METHODS,Site,Cook Shifts,4 Shifts Before,3 Shifts Before,2 Shifts Before,1 Shift Before,Same Day/Shift
MIXER/SCOOPER (BUTTER),VF,1,,,,STAGING,MIXER/SCOOPER (BUTTER)
OVEN,VF,1,,,,STAGING,OVEN
OVEN/MIXER/SCOOP,VF,1,,,,STAGING,OVEN/MIXER/SCOOP
OVEN/MIXER/SCOOP (BUTTER),VF,1,,,,STAGING,OVEN/MIXER/SCOOP (BUTTER)
OVEN/MIXER/SCOOPER (BUTTER),VF,1,,,,STAGING,OVEN/MIXER/SCOOPER (BUTTER)
OVEN/PRODUCTION,VF,1,,,,STAGING,OVEN/PRODUCTION
OVEN/SHREDDER/MIXER,VF,2,,,,STAGING,OVEN/SHREDDER/MIXER
OVEN/SLICER,VF,2,,,,STAGING,OVEN/SLICER
PRODUCTION,VF,1,,,,STAGING,PRODUCTION
SCOOP,VF,1,,,,STAGING,SCOOP
SCOOP (BUTTER),VF,1,,,,STAGING,SCOOP (BUTTER)
SCOOPER (BUTTER),VF,1,,,,STAGING,SCOOPER (BUTTER)
SLICER,VF,1,,,,STAGING,SLICER
BRINE/OVEN,VF,1,,,,STAGING,BRINE/OVEN
BRINE/MARINADE/BRAISER/OVEN,VF,1,,,,STAGING,BRINE/MARINADE/BRAISER/OVEN
BRINE/MARINADE/OVEN/SHREDDER/MIXER,VF,2,,,STAGING,BRINE/MARINADE/BRINE/MARINADE/OVEN,SHREDDER/MIXER
SHREDDER,VF,1,,,,STAGING,SHREDDER
BRINE/BRAISER/OVEN,VF,2,,,STAGING,BRINE,BRAISER/OVEN
DRY MIX,VF,1,,,,STAGING,DRY MIX
COLD MIX/OVEN,VF,1,,,,STAGING,COLD MIX/OVEN
HAND MIX/OVEN,VF,1,,,,STAGING,HAND MIX/OVEN
SHREDDER/COLD MIX,VF,1,,,,STAGING,SHREDDER/COLD MIX
SHREDDER/HAND MIX,VF,1,,,,STAGING,SHREDDER/HAND MIX
BRAISER/DRY MIX,VF,1,,,,STAGING,BRAISER/DRY MIX
BRAISER/DRY MIX/OVEN,VF,1,,,,STAGING,BRAISER/DRY MIX/OVEN
BRAISER/IMMERSION BLENDER/SPICE PORTIONING,VF,1,,,,STAGING,BRAISER/IMMERSION BLENDER/SPICE PORTIONING
BRAISER/HAND MIX/HOT SHREDDER/IMMERSION BLENDER/MARINADE/OVEN/SPICE PORTIONING,VF,1,,,,STAGING,BRAISER/HAND MIX/HOT SHREDDER/IMMERSION BLENDER/MARINADE/OVEN/SPICE PORTIONING
BRAISER/HAND MIX/IMMERSION BLENDER/SPICE PORTIONING,VF,1,,,,STAGING,BRAISER/HAND MIX/IMMERSION BLENDER/SPICE PORTIONING
BRINE/HAND MIX/MARINADE/OVEN/SPICE PORTIONING,VF,2,,,STAGING,BRINE/HAND MIX/MARINADE/SPICE PORTIONING,OVEN
