"1","3","4","6","8","9","10","","11","12","14","15","","16","17","18","19"
"W19","","COPY FROM D4 OUTPUT","","","","","","","","","","","MEAL UPTAKE BY SLOT","","",""
"Slot DE","Week","Count GER","DE Count w/ buffer","Recipe ID","BF SKU","BF Name","DE Name","Name","Internal SKU number (BNL)","Price","Production buffer","","BNL","","",""
"314","W50","#N/A","#N/A","FE1451A","565178","HF Kruidige pinda curry","Westafrikanisches Hähnchen-Erdnuss-Curry","West African Style Chicken Peanut Curry","CON-00-150748-2","€4.43","","W50","314","#N/A","",""
"315","W50","#N/A","#N/A","FE4063A","565136","","Cheddar Pulled Beef","Cheddar pulled beef","CON-00-138996-2","€5.02","","W50","315","#N/A","",""
"316","W50","#N/A","#N/A","FE0025M","565149","HF Kip Piccata met broccoli","Hähnchen in Zitronen-Kapern-Sauce","Chicken in lemon-capers sauce","CON-00-136695-3","€5.01","","W50","316","#N/A","",""
"317","W50","#N/A","#N/A","FE4020A","565071","HF Gegrilde varkenshaas met broccoli in paprikasaus","Gegrilltes Schweinefilet mit Brokkoli in Paprikasauce","Grilled pork tenderloin with broccoli in peppersauce","CON-00-136679-3","€5.14","","W50","317","#N/A","",""
"318","W50","#N/A","#N/A","FE0890B","565117","","Schweinefilet mit Apfel-Senf-Soße","Pork tenderloin with apple-mustard sauce","CON-00-136726-3","€4.80","","W50","318","#N/A","",""
"806","W50","#N/A","#N/A","FEA006A","","","Gegrilltes Hähnchen mit Knoblauch-Kräutern","Garlic Herb Grilled Chicken","PTN-00-136930-3","€3.61","","W50","806","#N/A","#N/A",""
"301","W51","#N/A","#N/A","FE0322O","565163","HF Kip bieslook aardappel pure","Hähnchen mit Sauerrahm und Schnittlauch","Sour Cream & Chive Chicken","CON-00-149480-2","€4.70","","W51","301","#N/A","","#N/A"
"302","W51","#N/A","#N/A","FE4015A","565072","HF Gegrilde kipfilet en ratatouille 429g","Grillhähnchen und Ratatouille","Grilled chicken and ratatouille","CON-00-136674-3","€4.87","","W51","302","#N/A","","#N/A"
"303","W51","#N/A","#N/A","FE0745B","565139","HF Pulled beef met peccorino","Rindfleisch mit Blumenkohlpüree","Beef with cauliflower mash","CON-00-136718-3","€4.53","","W51","303","#N/A","","#N/A"
"304","W51","#N/A","#N/A","FE0198D","565043","HF Pitt. kipf+jalap,lim,chedda","Würziges Hähnchen mit Jalapeño, Limette und Cheddar","Spicy chicken with jalapeño, lime and cheddar","CON-00-136638-3","€4.91","","W51","304","#N/A","#N/A",""
"305","W51","#N/A","#N/A","FE0628B","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W51","305","#N/A","",""
"306","W51","#N/A","#N/A","FE4040B","565172","","Hähnchen in cremiger Basilikumsauce","Chicken in creamy basil sauce","CON-00-136714-3","€5.19","","W51","306","#N/A","",""
"307","W51","#N/A","#N/A","FE4010B","565138","","Gegrilltes Schweinefilet mit Tomatenbutter","Grilled pork tenderloin and tomato butter","CON-00-136670-3","€5.22","","W51","307","#N/A","",""
"308","W51","#N/A","#N/A","FE0972B","565189","HF Zalm met piccata saus","Lachs Piccata","Salmon Piccata","CON-00-152025-2","€6.23","","W51","308","#N/A","",""
"309","W51","#N/A","#N/A","FE0425C","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W51","309","#N/A","",""
"310","W51","#N/A","#N/A","FE0516A","565111","","Trottole mit getrockneten Tomaten","Sun-dried tomato trottole","CON-00-136721-3","€4.12","","W51","310","#N/A","",""
"311","W51","#N/A","#N/A","FE1345A","565158","","Pulled Beef und Pasta in Käsesauce","Pulled beef & pasta in cheese sauce","CON-00-148373-2","€4.79","","W51","311","#N/A","",""
"312","W51","#N/A","#N/A","FE1145B","565206","HF Zalm citroen dille yoghurt","Ofengerösteter Lachs & Dill-Joghurt","Roasted Salmon & Dill Yogurt","CON-00-151097-2","€5.73","","W51","312","#N/A","",""
"313","W51","#N/A","#N/A","FE4067A","565210","HF Honing miso kip","Honig-Miso-Hähnchen mit Frühlingszwiebelreis","Honey Miso Chicken & Scallion Rice","CON-00-152041-2","€4.55","","W51","313","#N/A","",""
"314","W51","#N/A","#N/A","FE1068A","565192","HF Kip met kruidige aardappels","Marokkanisches Hähnchen in Tomatensauce","Moroccan-style chicken thighs & tomato sauce","CON-00-152033-2","€3.67","","W51","314","#N/A","",""
"315","W51","#N/A","#N/A","FE1422A","565217","HF Gele curry kip en gember","Thai-Style Curry Hähnchen mit Ingwerreis","Thai Style Yellow Curry Chicken & Ginger Rice","CON-00-152042-2","€5.06","","W51","315","#N/A","",""
"316","W51","#N/A","#N/A","FE0024E","565150","HF RW Kipfilet in tom-roomsaus","Hähnchen in Tomatencreme","Chicken in tomato cream sauce","CON-00-136673-3","€4.95","","W51","316","#N/A","",""
"317","W51","#N/A","#N/A","FE4048A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W51","317","#N/A","",""
"318","W51","#N/A","#N/A","FE1072A","#N/A","#N/A","#N/A","#N/A","#N/A","#N/A","","W51","318","#N/A","",""
